ID,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn
1.0,1.4782923873568e9,1.779295740782e6,8.587170565160722e8,2.73175976967232e8,1.2743645251405182e9,1.8610290129351497e8,1.8376231232974502e8,7.146409618188926e9,1.6442297387637782e9,1.65937351406978e8,5019.382310000001,1.5962884842593003e7,1.0112227549401e7,6.970222685746e6
2.0,-1.000669392069746e10,2.3330816388910003e6,3.681723504223772e9,1.0041103350293291e9,115926.200744,47160.092162,18634.955829000002,719544.1883779999,181721.248735,1.0006875641946194e10,4944.005805,1.4821286266181e7,8.949821670477e6,5.797238413085e6
3.0,-1.0007354317783527e10,2.331818218315e6,3.684842728164964e9,1.004957107681354e9,1.0447236441406e7,1492.444159,0.0,0.0,1.0448728885565e7,1.0017803046669092e10,4943.973846,1.4837299631509002e7,8.957863511877999e6,5.800987896722e6
4.0,3.7508885890335405e8,1.9877591976060001e6,1.762905668586652e9,4.99938019076898e8,2.0326409057101402e8,3.81996831564123e8,9.010163826391101e7,3.51002006809869e9,6.75362560399048e8,3.00273701495694e8,4962.7307980000005,1.4894038415269002e7,9.067416853821e6,5.9369900794250015e6
5.0,1.4746271800480833e9,1.7990587650080002e6,9.51880263439286e8,2.9428823153605e8,1.261932797465284e9,2.0867320687221298e8,1.6347556443491602e8,6.358829276311533e9,1.6340815687724133e9,1.5945438872433e8,5018.721146000001,1.5932313042749e7,1.0082101021908e7,6.940404891929e6
6.0,1.477487305871493e9,1.790518326519e6,9.042339423257248e8,2.83629071439239e8,1.2698249635737302e9,1.9693501240773797e8,1.74494610930058e8,6.786965980907573e9,1.6412545869115262e9,1.6376728104003298e8,5019.090806,1.5947378537821002e7,1.0097686870755e7,6.956219383498e6
7.0,1.474047162524376e9,1.8074487796690003e6,9.557550978430955e8,2.94985975244937e8,1.261372328436841e9,2.1014454062138897e8,1.61772016330308e8,6.293007236083676e9,1.633288885388538e9,1.59241722864162e8,5018.827087000001,1.5920084140686002e7,1.0074347684376001e7,6.9350548471409995e6
8.0,1.423055286643923e9,1.868358199711e6,1.1139008399620652e9,3.29468230751361e8,1.156493932517329e9,2.65512455998568e8,1.2095889352124001e8,4.70746697297958e9,1.542965282037137e9,1.1990999539321402e8,5013.394961,1.5721823609635001e7,9.905698881723002e6,6.781813998547001e6
9.0,1.412774603490525e9,1.85223275007e6,1.150538304299026e9,3.40046482496741e8,1.118178034644668e9,2.77834183269748e8,1.2364702620574602e8,4.814939909451211e9,1.519659244120162e9,1.06884640629637e8,5011.965484,1.5702164681974e7,9.879346792221e6,6.751526290159001e6
10.0,1.4417987203549552e9,1.8524939831480002e6,1.086888544685941e9,3.23866857607575e8,1.1865758947935102e9,2.5529862467405498e8,1.29245597903404e8,5.031163327091692e9,1.5711201173709688e9,1.29321397016014e8,5014.59422,1.5768718029621001e7,9.944925395180002e6,6.817011243864001e6
