SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,296.505615,47718.804688,46618.632812,29832.857422,1160665.5,0.0,0.0,0.0,0.0,0.0,0.0,76451.490234,76451.490234,151755.64052266665
150,38.105591,2162.616943,0.0,8768.84375,341904.875,0.0,0.0,0.0,0.0,0.0,0.0,8768.84375,8768.84375,1091.4979576666665
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,124.887527,12181.838867,4137.499512,41774.847656,1623991.375,0.0,0.0,0.0,0.0,0.0,0.0,45912.347168,45912.347168,12186.915012333331
154,280.725067,25192.59375,2586.61792,94882.140625,3695563.0,0.0,0.0,0.0,0.0,0.0,0.0,97468.758545,97468.758545,18461.583750000005
217,345.255615,42485.332031,27284.402344,69226.40625,2698878.5,0.0,0.0,0.0,0.0,0.0,0.0,96510.808594,96510.808594,101801.98078033331
218,14.046802,1790.971924,1834.033081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.033081,1834.033081,6566.897054666666
219,99.763226,9693.552246,4220.735229,32426.411133,1260379.71875,0.0,0.0,0.0,0.0,0.0,0.0,36647.146362,36647.146362,10335.430526999997
220,324.979797,29861.703125,0.0,118524.140625,4608964.0,0.0,0.0,0.0,0.0,0.0,0.0,118524.140625,118524.140625,17313.63145833333
221,89.174309,3821.845215,0.0,11617.374023,452557.4375,0.0,0.0,0.0,0.0,0.0,0.0,11617.374023,11617.374023,4962.283704999998
284,79.242378,3734.044434,0.0,15140.181641,590344.0,0.0,0.0,0.0,0.0,0.0,0.0,15140.181641,15140.181641,1884.6162579999982
285,366.958435,56187.378906,103672.617188,57905.054688,2256826.0,0.0,0.0,0.0,0.0,0.0,0.0,161577.671876,161577.671876,160883.86932199995
286,210.180939,19286.148438,0.0,76541.6875,2976694.25,0.0,0.0,0.0,0.0,0.0,0.0,76541.6875,76541.6875,11181.992605999993
287,329.771515,29248.048828,0.0,116213.195312,4514250.0,0.0,0.0,0.0,0.0,0.0,0.0,116213.195312,116213.195312,16957.84570266666
288,329.448364,25477.757812,0.0,101233.179688,3932329.5,0.0,0.0,0.0,0.0,0.0,0.0,101233.179688,101233.179688,14771.855310666666
289,27.613884,2081.960938,2054.435303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.435303,2054.435303,7633.856772666667
351,205.94101,13916.132812,0.0,57727.226562,2250225.5,0.0,0.0,0.0,0.0,0.0,0.0,57727.226562,57727.226562,6021.31031066666
352,354.816193,50915.342773,91457.53125,51639.369141,2009291.5625,0.0,0.0,0.0,0.0,0.0,0.0,143096.900391,143096.900391,146503.75891766662
353,327.153557,30100.816162,0.0,119557.378906,4645869.34375,0.0,0.0,0.0,0.0,0.0,0.0,119557.378906,119557.378906,17452.272385666656
354,323.294922,30064.158203,0.0,119525.417969,4640211.125,0.0,0.0,0.0,0.0,0.0,0.0,119525.417969,119525.417969,17431.024244333326
