SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,1746.534302,959.30127,535.406799,82706.953125,155851.0,73144.046875,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,140.667114,19512.310547,6776.294922,7132.425293,277286.03125,91767.3125,0.111589,716.996277,393.818146,219.799225,21259.734375,105676.03271500001,84416.29834000001,65999.41804733333
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,82.18985,45.143597,25.195612,84055.257812,25505.160889,-58550.096923,156518.2384393333
217,361.938354,46543.890625,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1286.60376,750.165894,461.314514,30014.091797,186598.828125,156584.736328,154097.90854166666
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.868683,0.0,-156.868683,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1381.723724,802.592621,490.752869,13713.526611,13594.772339,-118.75427200000013,40282.96720690666
220,375.242554,70389.546875,54961.492188,32572.375,1266862.625,398609.625,0.555615,4281.558594,2371.030518,1342.284424,77144.75,486143.492188,408998.742188,232757.7527083333
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,706.024719,1742.495605,1036.470886,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
285,364.643585,42768.527344,10836.708008,21969.480469,856251.5625,153502.28125,0.067345,1426.44165,833.229248,511.025269,60063.40625,186308.469727,126245.06347699999,139692.90234466665
286,241.560455,38828.710938,23166.664062,11475.089844,446209.5625,0.0,0.13637,1262.865845,752.145935,477.142883,167392.1875,34641.753906,-132750.433594,133447.748856
287,376.764404,43339.964844,24181.919922,14547.386719,565115.625,91259.148438,1.062764,5135.591797,2852.282227,1622.80835,123816.382812,129988.455079,6172.0722670000105,147610.891928
