SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.559692,0.0,-2045.559692,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,1746.534302,959.30127,535.406799,96931.90625,155851.0,58919.09375,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,4080.557617,1932.034912,-2148.522705,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13496.110352,0.0,-13496.110352,43504.713541666664
153,140.667114,19512.310547,6776.294922,7132.425293,277286.03125,91767.3125,0.111589,716.996277,393.814697,219.7939,38447.742188,105676.03271500001,67228.290527,65999.41804733333
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,82.18985,45.143597,25.195612,97318.679688,25505.160889,-71813.51879900001,156518.2384393333
217,361.938354,46543.890625,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1286.60376,750.165894,461.314514,82491.320312,186598.828125,104107.507813,154097.90854166666
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.877197,0.0,-1411.877197,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1427.085754,819.603973,492.498489,19986.296875,13594.772339,-6391.524536000001,40282.96720690666
220,375.242554,70389.546875,54961.492188,32572.375,1266862.625,398609.625,0.555615,4286.816406,2372.778809,1342.143066,102947.367188,486143.492188,383196.125,232757.7527083333
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,6434.617188,1742.495605,-4692.121583,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,5251.041016,4750.077148,-500.9638679999998,28836.126536
285,364.643585,42768.527344,10836.708008,21969.480469,856251.5625,153502.28125,0.067345,1426.44165,833.229248,511.025269,88827.34375,186308.469727,97481.12597699999,139692.90234466665
286,241.560455,38828.710938,23166.664062,11475.089844,446209.5625,0.0,0.13637,1324.79126,775.426697,479.615143,177106.421875,34641.753906,-142464.667969,133447.748856
287,376.764404,43339.964844,24181.919922,14547.386719,565115.625,91259.148438,1.062764,5208.647461,2879.322754,1625.071777,148429.40625,129988.455079,-18440.951170999993,147610.891928
288,364.468994,47729.585938,40437.058594,30257.529297,1175252.75,19547.296875,0.00994,99.345505,55.475967,31.853909,65632.523438,90241.884766,24609.361328,151503.42677266666
289,27.226959,1733.896118,342.299683,0.0,0.0,0.0,0.00114,33.584755,17.903366,9.459538,2427.752197,342.299683,-2085.4525139999996,6357.619099333333
351,221.638031,27396.492188,12304.121094,33983.921875,1324658.0,75937.1875,0.060841,1291.055664,752.761597,462.910767,13160.607422,122225.230469,109064.623047,73960.64468933332
352,349.494888,36777.986328,8083.209473,24938.917969,970570.515625,0.0,0.0,0.0,0.0,0.0,52060.32959,33022.127442,-19038.202148000004,115441.20622349999
353,369.097885,61403.939941,51097.227539,29636.940186,1151702.9375,0.0,0.802638,3019.385807,1726.854393,1030.875858,151384.1875,80734.167725,-70650.019775,202113.72103366666
354,368.900719,30757.248047,6090.470459,18462.965332,716961.007812,523707.3125,1.004012,4472.143677,2534.801758,1491.61792,95277.597656,548260.748291,452983.150635,98437.35601609333
355,218.012314,13251.974121,5001.333008,3484.121582,135028.923828,22021.153809,0.0,0.0,0.0,0.0,21682.483398,30506.608398999997,8824.125000999997,45889.99330043999
356,10.041677,785.695557,0.0,0.0,0.0,0.0,0.001466,43.180401,23.018612,12.162263,1017.04895,0.0,-1017.04895,2880.8837089999997
419,104.742226,20944.303223,16062.224609,22333.331543,869643.1875,0.0,0.0,0.0,0.0,0.0,1878.963364,38395.556152000005,36516.592788,59402.91473433332
420,169.858261,16005.476562,6065.987061,5371.121582,208762.929688,0.0,0.0,0.0,0.0,0.0,54853.490234,11437.108643,-43416.381591,54511.48880024
421,345.086254,44341.632812,10284.983398,26737.800903,1037652.445312,57341.186523,2.886517,4293.467285,2433.45929,1431.91655,64576.905273,94363.97082399999,29787.065550999992,141832.93807109335
422,369.090591,52836.857178,29036.376953,18478.085281,716240.909668,567981.25,0.060485,291.695923,168.677551,102.436897,223661.637207,615495.712234,391834.075027,179410.32479264
423,349.603096,63555.714355,42564.347656,22185.871094,858759.375,17531.332031,0.107929,2861.715973,1534.600098,819.999325,169343.92334,82281.550781,-87062.37255900001,215862.43180166665
424,89.119827,15810.768555,1967.071289,0.0,0.0,6668.366211,0.005077,74.362892,41.937328,24.477406,22325.609375,8635.4375,-13690.171875,57972.818035
431,156.758041,3360.136475,1488.588867,0.0,0.0,16250.144531,0.025636,152.389008,92.219246,59.820164,15794.526367,17738.733398,1944.207031,12320.500408333332
432,27.918671,1148.311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.684082,0.0,-1407.684082,4210.475584333333
486,16.741899,0.0,653.031067,2752.905029,107153.234375,0.0,0.0,0.0,0.0,0.0,0.0,3405.936096,3405.936096,-2143.0646875
487,136.667847,27250.204102,13479.243164,9725.428223,377739.777344,0.0,0.376636,463.264206,264.289783,157.149775,159451.421875,23204.671387000002,-136246.750488,92362.61949378665
