SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,1746.534302,959.30127,535.406799,59772.4375,155851.0,96078.5625,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,140.386703,18654.626953,6776.294922,7132.425293,277286.03125,91637.289062,0.111589,716.996277,393.816132,219.796143,1457.951172,105546.009277,104088.058105,62854.57820266666
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,82.18985,45.143597,25.195612,48099.214844,25505.160889,-22594.053955000003,156518.2384393333
217,361.725708,45916.996094,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1286.60376,750.165894,461.314514,0.0,186598.828125,186598.828125,151799.29526133335
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.283529333334
219,111.437012,10885.798828,5267.927002,4071.700317,158250.382812,0.0,0.215829,1411.484619,815.26297,494.220505,2424.842773,9339.627319,6914.784545999999,36749.58804642667
220,375.339905,69181.5625,53989.257812,31990.839844,1244247.375,401113.875,0.555615,4286.816406,2372.897949,1342.326416,31082.578125,487093.972656,456011.394531,228780.78166666665
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,0.0,1742.495605,1742.495605,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
285,365.205658,38288.527344,10836.708008,21226.910156,827310.25,155037.515625,0.067345,1426.44165,833.229248,511.025269,8727.008789,187101.13378899998,178374.125,123845.061928
286,237.527313,35663.054688,33597.234375,15829.449219,615635.9375,0.0,0.13637,1290.50293,763.425842,479.615143,1939.251099,49426.683594,47487.432495,118451.81510599998
287,377.499268,35365.167969,16760.658203,9456.780273,367373.125,102856.101562,1.062764,5239.131836,2898.337891,1637.910645,6785.512207,129073.54003799999,122288.02783099998,122324.820053
288,367.02594,40064.617188,28454.652344,23274.607422,904124.125,20058.150391,0.00994,99.345505,55.481361,31.862209,6302.980469,71787.410157,65484.429688000004,128821.113856
289,27.226959,1733.896118,342.299683,0.0,0.0,0.0,0.00114,33.584755,17.903366,9.459538,0.0,342.299683,342.299683,6357.619099333333
351,221.638031,27396.492188,12304.121094,33983.921875,1324658.0,75937.1875,0.060841,1291.055664,752.761597,462.910767,0.0,122225.230469,122225.230469,73960.64468933332
352,348.989807,36795.708984,12804.661621,27116.449219,1055271.0625,0.0,0.0,0.0,0.0,0.0,4362.4375,39921.110839999994,35558.673339999994,113812.17835799999
353,374.994041,35119.895264,16639.500488,10896.047668,423413.652344,0.0,0.802638,2980.223942,1716.231781,1035.620674,7270.598053,27535.548156,20264.950103000003,120304.67625445333
354,371.289474,28895.583008,5125.264404,12211.581055,474165.703125,551975.4375,1.004012,4708.405518,2617.617432,1491.808838,23260.56958,569312.282959,546051.713379,96467.15696683334
355,217.81369,13011.327637,5001.333008,3484.121582,135028.923828,22733.77832,0.0,0.0,0.0,0.0,1937.257568,31219.23291,29281.975341999998,45007.62285910666
356,10.041677,785.695557,0.0,0.0,0.0,0.0,0.001466,43.180401,23.018612,12.162263,0.0,0.0,0.0,2880.8837089999997
419,104.742226,20944.303223,16062.224609,22333.331543,869643.1875,0.0,0.0,0.0,0.0,0.0,0.0,38395.556152000005,38395.556152000005,59402.91473433332
420,170.564068,12068.441162,1428.331879,2322.033569,90283.042969,0.0,0.0,0.0,0.0,0.0,1936.218018,3750.3654480000005,1814.1474300000004,42445.290067953334
421,348.510353,35614.844238,10284.983398,17727.526703,687933.453125,57341.186523,2.886517,4374.170746,2470.811798,1445.925751,10167.018555,85353.696624,75186.678069,116829.09314349998
422,366.150436,41699.241455,29036.376953,18332.589188,710598.222168,594640.976562,0.060485,300.468018,171.816467,102.54258,5810.395508,642009.942703,636199.547195,138685.25422497335
423,348.103401,58148.32373,42564.347656,22185.871094,858759.375,17531.332031,0.107929,2861.715973,1534.600098,819.999325,4354.9375,82281.550781,77926.613281,196035.3328433333
424,89.048752,15421.276367,1967.071289,0.0,0.0,6668.366211,0.005077,74.473007,42.505608,25.292387,0.0,8635.4375,8635.4375,56544.68001233333
431,156.758041,3360.136475,1488.588867,0.0,0.0,16250.144531,0.025636,152.389008,92.219246,59.820164,0.0,17738.733398,17738.733398,12320.500408333332
432,27.918671,1148.311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4210.475584333333
486,16.741899,0.0,653.031067,2752.905029,107153.234375,0.0,0.0,0.0,0.0,0.0,0.0,3405.936096,3405.936096,-2143.0646875
487,134.646763,18074.290039,11341.741211,8128.511475,315713.179688,0.0,0.376636,463.264206,264.923164,158.124125,1451.552246,19470.252686,18018.70044,59958.133215906666
488,354.05188,41887.953125,18549.941406,18458.46875,715778.0,178606.0,0.688592,2260.501953,1257.384033,717.243774,1934.615723,215614.410156,213679.794433,139273.60145833332
489,354.20932,42679.808594,9733.244141,22036.167969,853166.625,254113.9375,0.78768,2746.370117,1521.093018,861.328308,4352.772949,285883.34961,281530.57666099997,139429.29901133335
490,373.068878,39840.664062,14336.927734,10586.265625,409361.375,332996.78125,0.203229,3300.720703,1897.412842,1141.7854,966.435913,357919.974609,356953.538696,137895.207394
491,36.955761,3693.254639,3124.043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3124.043945,3124.043945,13541.933676333334
497,196.749435,7469.732422,22530.480469,13493.862305,518265.8125,85495.726562,0.092557,546.02063,329.344299,212.67244,966.745422,121520.06933599999,120553.32391399998,17023.702630666667
498,407.231262,37728.59375,17869.158203,8933.567383,343626.5625,290133.65625,0.20697,1926.267212,1292.180664,950.749268,0.0,316936.381836,316936.381836,131465.6458333333
555,126.877388,10155.114258,0.0,3774.864746,146455.375,0.0,0.0,0.0,0.0,0.0,0.0,3774.864746,3774.864746,34306.311446
556,360.579651,39830.402344,23926.447266,13373.972656,517850.78125,594027.0,0.653431,4244.3125,2456.915283,1494.470703,7728.476562,631327.419922,623598.94336,135687.79296966665
557,363.523621,43138.085938,28517.320312,30721.296875,1187897.75,503155.59375,0.54178,4614.280273,2745.265625,1738.872559,17389.740234,562394.210937,545004.470703,134415.02677266666
558,365.800415,43823.003906,29703.5,12039.756836,465087.15625,226217.203125,0.24124,2188.585449,1275.868774,784.405884,14009.676758,267960.459961,253950.78320300003,151382.6045303333
559,49.742649,8043.487305,2141.606934,0.0,0.0,6733.383789,0.032456,194.456329,101.245255,51.05463,482.809906,8874.990723,8392.180817,29492.786784999997
560,55.908714,5491.369141,1321.818604,0.0,0.0,31654.601562,0.014366,317.197632,156.170471,69.463524,0.0,32976.420165999996,32976.420165999996,20135.020183666667
562,29.204468,5186.669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19017.789714
563,100.0933,9516.224609,0.0,0.0,0.0,16227.62207,0.144209,148.958313,94.020081,64.437943,965.591675,16227.62207,15262.030395,34892.82356633333
564,171.404083,19482.351562,8952.949707,8208.960938,315272.5625,2583.224365,0.038677,245.447243,144.440928,90.052896,3380.429443,19745.135009999998,16364.705566999997,65129.837810666664
565,381.616821,43192.652344,46170.398438,39260.355469,1508843.5,417853.625,0.521028,3843.200684,2347.698975,1542.428467,2415.287598,503284.378907,500869.091309,128196.18859466666
566,184.088135,21038.953125,7218.049805,3090.256348,118415.09375,35084.992188,0.050249,396.469849,235.084488,148.184647,0.0,45393.298340999994,45393.298340999994,74774.52625
622,128.821716,18216.703125,2888.535156,10164.22168,393902.65625,2733.20752,0.013384,88.931488,51.540894,31.407497,1931.971436,15785.964356,13853.99292,58916.525
623,358.01532,42735.695312,14131.673828,13763.789062,532539.875,613983.3125,1.068143,4730.616211,2659.709473,1544.605591,7240.825195,641878.77539,634637.9501949999,146046.75197733333
624,348.911591,33893.003906,15018.511719,43046.148438,1662463.25,400100.71875,0.512159,4447.443359,2635.138184,1659.281616,483.175781,458165.378907,457682.203126,91025.08265533332
625,265.263672,27681.759766,2892.362305,25540.058594,984861.0625,37733.4375,1.008816,2526.047607,1560.293457,1040.271729,20266.808594,66165.85839899999,45899.04980499999,81802.56455866665
626,270.514015,37036.283203,17159.444824,24625.408203,948647.28125,174165.722656,0.221596,3080.980957,1477.221039,613.657669,7237.220215,215950.575683,208713.355468,116826.75945266665
627,210.326691,18116.408203,6331.628418,18327.742188,703904.625,0.0,0.0,0.0,0.0,0.0,1447.303345,24659.370606,23212.067261,52348.73757766666
628,71.799103,10730.414062,3745.299072,6417.805664,246062.28125,0.0,0.0,0.0,0.0,0.0,0.0,10163.104736000001,10163.104736000001,34423.60593566666
629,47.523636,4154.563477,0.0,1942.390747,74413.390625,0.0,0.0,0.0,0.0,0.0,482.697296,1942.390747,1459.6934509999999,13745.131603166665
630,326.891174,39337.1875,6935.044922,18629.164062,714205.25,243459.015625,1.159546,2408.353027,1441.494873,920.878906,19786.392578,269023.224609,249236.83203100003,129952.24916666666
631,376.553284,38729.28125,28704.222656,59049.929688,2267304.0,273518.1875,0.289507,3547.925293,1995.36792,1159.375244,8207.007812,361272.339844,353065.332032,96661.28458333331
632,402.450073,37245.433594,19579.443359,29720.277344,1141937.25,528497.0625,0.416142,4701.373047,2877.191895,1894.940796,3860.508301,577796.783203,573936.274902,113727.84484466666
633,145.877136,18609.966797,18342.099609,2244.996826,84553.265625,18010.068359,0.034079,216.068695,124.031052,74.47226,482.387482,38597.164794,38114.777312,66545.47960983333
690,230.835938,36925.089844,10427.637695,9293.619141,359751.375,13732.900391,0.016669,90.566559,51.592602,30.606623,482.528351,33454.157227,32971.628876,128196.96859466666
691,355.301514,28667.476562,5749.312012,12735.226562,492227.0625,621728.75,0.697078,5368.633789,2989.716064,1708.761108,48238.128906,640213.288574,591975.159668,95269.53947733334
692,339.669312,35665.5,2711.421143,69001.5625,2662787.5,217389.75,1.554843,3894.164551,2470.735352,1704.272949,46758.707031,289102.733643,242344.02661200002,77517.75
