SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,1746.534302,959.30127,535.406799,59772.4375,155851.0,96078.5625,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,140.270081,18654.626953,6776.294922,7132.425293,277286.03125,91981.265625,0.111589,717.27948,393.964966,219.872574,1457.951172,105889.98584000001,104432.03466800001,62854.57820266666
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,82.18985,45.143597,25.195612,48099.214844,25505.160889,-22594.053955000003,156518.2384393333
217,361.725708,45916.996094,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1286.60376,750.165894,461.314514,0.0,186598.828125,186598.828125,151799.29526133335
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1472.903748,842.332672,502.794403,2424.842773,13594.772339,11169.929565999999,40282.96720690666
220,373.877014,69746.265625,54961.492188,32572.375,1266862.625,401629.875,0.555615,4330.65625,2389.478271,1344.228149,31082.578125,489163.742188,458081.164063,230399.05479166665
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,0.0,1742.495605,1742.495605,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
285,364.08551,41098.726562,10836.708008,21969.480469,856251.5625,155037.515625,0.067345,1426.44165,833.229248,510.888367,8727.008789,187843.704102,179116.695313,133570.29947733335
286,227.453857,29710.8125,22475.625,11184.731445,434915.3125,0.0,0.13637,1377.282471,800.419312,489.800781,1939.251099,33660.356445,31721.105345999997,100241.33958333333
287,375.436218,39561.847656,24181.919922,14547.386719,565115.625,96671.179688,1.062764,5342.486328,2948.373535,1659.236328,6785.512207,135400.486329,128614.97412200001,133757.79557199997
288,363.949341,47037.570312,40437.058594,30257.529297,1175252.75,19980.707031,0.00994,101.777969,56.327335,31.853909,6302.980469,90675.294922,84372.314453,148966.036144
289,27.226959,1733.896118,342.299683,0.0,0.0,0.0,0.00114,33.584755,17.903366,9.459538,0.0,342.299683,342.299683,6357.619099333333
351,221.638031,27396.492188,12304.121094,33983.921875,1324658.0,75937.1875,0.060841,1291.055664,752.761597,462.910767,0.0,122225.230469,122225.230469,73960.64468933332
352,345.5905,35667.800781,7755.284668,24648.45752,959272.34375,0.0,0.0,0.0,0.0,0.0,4362.4375,32403.742188,28041.304688,111596.48932199998
353,367.370855,56587.674805,51097.227539,29636.940186,1151702.9375,0.0,0.802638,3115.625,1783.794662,1066.655363,7270.598053,80734.167725,73463.56967200001,184454.08220166666
354,367.513916,29713.821289,6090.470459,18317.466797,711318.296875,529949.09375,1.004012,4813.023315,2663.98584,1506.811401,23260.56958,554357.031006,531096.461426,94724.31212216667
355,217.639603,13011.327637,5001.333008,3484.121582,135028.923828,23255.609375,0.0,0.0,0.0,0.0,1937.257568,31741.063965,29803.806397,45007.62285910666
356,10.041677,785.695557,0.0,0.0,0.0,0.0,0.001466,43.180401,23.018612,12.162263,0.0,0.0,0.0,2880.8837089999997
419,104.742226,20944.303223,16062.224609,22333.331543,869643.1875,0.0,0.0,0.0,0.0,0.0,0.0,38395.556152000005,38395.556152000005,59402.91473433332
420,169.295715,14338.561035,6065.987061,5371.121582,208762.929688,0.0,0.0,0.0,0.0,0.0,1936.218018,11437.108643,9500.890625,48399.46520124
421,344.959698,44122.632812,10284.983398,26737.800903,1037652.445312,57341.186523,2.886517,4442.202271,2548.049286,1528.120514,10167.018555,94363.97082399999,84196.95226899999,141029.93807109335
422,353.943333,41699.241455,29036.376953,18332.589188,710598.222168,631163.828125,0.060485,313.573822,176.701492,103.000999,5810.395508,678532.794266,672722.398758,138685.25422497335
423,348.103401,58148.32373,42564.347656,22185.871094,858759.375,17531.332031,0.107929,2861.715973,1534.600098,819.999325,4354.9375,82281.550781,77926.613281,196035.3328433333
424,89.048752,15421.276367,1967.071289,0.0,0.0,6668.366211,0.005077,74.473007,42.634052,25.49,0.0,8635.4375,8635.4375,56544.68001233333
431,156.758041,3360.136475,1488.588867,0.0,0.0,16250.144531,0.025636,152.389008,92.219246,59.820164,0.0,17738.733398,17738.733398,12320.500408333332
432,27.918671,1148.311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4210.475584333333
486,16.741899,0.0,653.031067,2752.905029,107153.234375,0.0,0.0,0.0,0.0,0.0,0.0,3405.936096,3405.936096,-2143.0646875
487,133.98579,19337.855469,13479.243164,9725.428223,377739.777344,0.0,0.376636,466.839607,269.65583,163.479959,1451.552246,23204.671387000002,21753.119141000003,63350.67450612
488,340.580627,41887.953125,18549.941406,18458.46875,715778.0,180524.96875,0.688592,2313.65332,1284.224731,729.916382,1934.615723,217533.378906,215598.763183,139273.60145833332
489,351.286133,43428.601562,11068.056641,22763.394531,881353.625,262143.734375,0.78768,2757.966309,1555.609863,908.187317,4352.772949,295975.18554700003,291622.412598,141611.13322733334
490,366.17807,39840.664062,14336.927734,10586.265625,409361.375,361189.9375,0.203229,3300.720703,1905.647583,1154.454468,966.435913,386113.130859,385146.694946,137895.207394
491,36.955761,3693.254639,3124.043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3124.043945,3124.043945,13541.933676333334
497,196.749435,7469.732422,22530.480469,13493.862305,518265.8125,85495.726562,0.092557,546.02063,329.344299,212.67244,966.745422,121520.06933599999,120553.32391399998,17023.702630666667
498,406.012299,37728.59375,17869.158203,8933.567383,343626.5625,293907.6875,0.20697,1950.382446,1306.96106,960.503296,0.0,320710.413086,320710.413086,131465.6458333333
555,126.137344,10155.114258,0.0,3774.864746,146455.375,0.0,0.0,0.0,0.0,0.0,0.0,3774.864746,3774.864746,34306.311446
556,338.645355,39830.402344,23926.447266,13373.972656,517850.78125,654182.5,0.653431,4464.63623,2534.013672,1494.446777,7728.476562,691482.919922,683754.44336,135687.79296966665
557,353.619415,43138.085938,28517.320312,30721.296875,1187897.75,545924.375,0.54178,4621.415039,2771.462891,1775.335449,17389.740234,605162.992187,587773.251953,134415.02677266666
558,353.838196,48854.351562,38167.304688,14506.05957,560358.5625,267502.5,0.24124,2190.165527,1281.963135,792.931396,14009.676758,320175.864258,306166.1875,167925.451144
559,49.742649,8043.487305,2141.606934,0.0,0.0,6733.383789,0.032456,194.456329,101.245255,51.05463,482.809906,8874.990723,8392.180817,29492.786784999997
560,55.851593,5676.630859,1511.405518,0.0,0.0,30804.814453,0.014366,315.623047,157.94754,73.045349,0.0,32316.219971,32316.219971,20814.313149666665
562,29.204468,5186.669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19017.789714
563,100.0933,9516.224609,0.0,0.0,0.0,16227.62207,0.144209,148.958313,94.020081,64.437943,965.591675,16227.62207,15262.030395,34892.82356633333
564,171.404083,19482.351562,8952.949707,8208.960938,315272.5625,2583.224365,0.038677,245.447243,144.440928,90.052896,3380.429443,19745.135009999998,16364.705566999997,65129.837810666664
565,378.819946,43192.652344,46170.398438,39260.355469,1508843.5,428301.0,0.521028,3908.9375,2376.4375,1551.245483,2415.287598,513731.753907,511316.466309,128196.18859466666
566,183.833755,21038.953125,7218.049805,3090.256348,118415.09375,35886.085938,0.050249,396.469849,240.560944,156.609985,0.0,46194.392090999994,46194.392090999994,74774.52625
622,125.7061,18216.703125,2888.535156,10164.22168,393902.65625,2733.20752,0.013384,93.688835,53.177048,31.363001,1931.971436,15785.964356,13853.99292,58916.525
623,337.250031,42735.695312,14131.673828,13763.789062,532539.875,673461.875,1.068143,4827.731934,2730.275635,1600.876221,7240.825195,701357.33789,694116.5126949999,146046.75197733333
624,340.663757,33893.003906,15018.511719,43046.148438,1662463.25,436478.75,0.512159,4476.089355,2650.276367,1667.146118,483.175781,494543.410157,494060.234376,91025.08265533332
625,263.108276,28607.378906,3450.583008,28151.589844,1085568.0,41737.648438,1.008816,2564.893066,1573.889404,1040.271729,20266.808594,73339.82128999999,53073.01269599999,83182.36265533333
626,268.321953,38214.113281,18312.151855,26665.244141,1027227.15625,165016.988281,0.221596,3082.230957,1490.38974,633.244339,7237.220215,209994.384277,202757.164062,119573.87223866666
627,210.133682,18134.617188,6331.628418,18774.734375,721071.4375,0.0,0.0,0.0,0.0,0.0,1447.303345,25106.362793,23659.059448,52072.167605999995
628,71.799103,10730.414062,3745.299072,6417.805664,246062.28125,0.0,0.0,0.0,0.0,0.0,0.0,10163.104736000001,10163.104736000001,34423.60593566666
629,47.40065,4154.563477,0.0,1942.390747,74413.390625,0.0,0.0,0.0,0.0,0.0,482.697296,1942.390747,1459.6934509999999,13745.131603166665
630,322.633331,39337.1875,6935.044922,18629.164062,714205.25,255637.625,1.159546,2458.72998,1470.162476,937.856812,19786.392578,281201.833984,261415.44140600003,129952.24916666666
631,372.480438,38729.28125,28704.222656,59049.929688,2267304.0,288846.75,0.289507,3556.441162,2006.219849,1171.485352,8207.007812,376600.902344,368393.894532,96661.28458333331
632,395.684418,37245.433594,19579.443359,29720.277344,1141937.25,549622.0625,0.416142,4739.250977,2903.452637,1914.946167,3860.508301,598921.783203,595061.274902,113727.84484466666
633,145.877136,18609.966797,18342.099609,2244.996826,84553.265625,18010.068359,0.034079,216.068695,124.943794,75.87648,482.387482,38597.164794,38114.777312,66545.47960983333
690,220.534683,36925.089844,10427.637695,9293.619141,359751.375,15132.824219,0.016669,93.658905,53.041786,31.171043,482.528351,34854.081055,34371.552704,128196.96859466666
691,324.69162,28667.476562,5749.312012,12735.226562,492227.0625,759845.625,0.697078,5487.358398,3035.734863,1715.629517,48238.128906,778330.163574,730092.034668,95269.53947733334
692,332.853149,35665.5,2711.421143,69001.5625,2662787.5,251099.921875,1.554843,3912.8125,2481.173828,1710.291504,46758.707031,322812.905518,276054.198487,77517.75
