SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.559692,0.0,-2045.559692,336.75140766666664
86,321.288696,64940.410156,9448.491211,1455.383789,56622.589844,144947.125,0.272951,2073.395752,1132.982056,626.605469,30504.308594,155851.0,125346.691406,236982.38544178667
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,4080.557617,1932.034912,-2148.522705,21893.256906759998
151,100.050514,12878.943359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28498.736328,0.0,-28498.736328,47222.79231633333
153,140.897278,19715.214844,6776.294922,6986.816895,271626.3125,91767.3125,0.111589,931.403076,507.69104,279.538452,39756.179688,105530.424317,65774.244629,66856.59484466666
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,85.363251,46.829819,26.081036,41446.054688,25505.160889,-15940.893798999998,156518.2384393333
217,363.778076,47513.535156,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1279.022339,750.165894,457.357941,94495.914062,186598.828125,92102.914063,157653.27182199998
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.877197,0.0,-1411.877197,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1483.273376,846.694092,503.920731,17169.570312,13594.772339,-3574.7979730000006,40282.96720690666
220,376.963318,72078.914062,53679.773438,31264.191406,1215976.625,398609.625,0.555615,4917.847168,2712.017578,1524.262695,90833.15625,483553.589844,392720.433594,239969.81906066663
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,6434.617188,1742.495605,-4692.121583,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,5251.041016,4750.077148,-500.9638679999998,28836.126536
285,366.135681,44074.671875,9932.890625,20632.529297,804144.5,153502.28125,0.067345,1420.644043,833.229248,507.999664,96678.117188,184067.701172,87389.583984,145524.2402083333
286,243.577118,40421.421875,20342.078125,10023.21875,389750.40625,0.0,0.13637,1346.553467,787.226562,486.050842,183838.5,30365.296875,-153473.203125,140416.87208333332
287,379.939331,45163.757812,20821.837891,11928.769531,463394.71875,91259.148438,1.062764,5252.214844,2898.931885,1631.778931,165650.59375,124009.75586,-41640.837889999995,156332.55093566666
288,364.938354,48337.796875,40437.058594,29967.1875,1163942.5,19547.296875,0.00994,99.337494,55.473164,31.853909,67309.5,89951.542969,22642.042969000002,153959.73854166665
289,27.226959,1733.896118,342.299683,0.0,0.0,0.0,0.00114,40.904518,21.622913,11.240511,8374.445312,342.299683,-8032.145629,6357.619099333333
351,221.638031,27396.492188,12304.121094,33983.921875,1324658.0,75937.1875,0.060841,1283.605225,752.761597,459.022644,13160.607422,122225.230469,109064.623047,73960.64468933332
352,350.431503,38591.357422,8085.464355,24503.172363,953621.140625,0.0,0.0,0.0,0.0,0.0,73778.556152,32588.636718,-41189.919434,122429.22106816666
353,370.300161,62100.788574,49669.038086,28620.292114,1112203.679688,0.0,0.802638,3008.615433,1724.712845,1033.38068,151913.917969,78289.3302,-73624.587769,205458.81784424
354,369.122208,30958.931641,5447.987061,18754.112549,728243.828125,518832.96875,1.004012,4451.110229,2528.300781,1492.942261,72376.492188,543035.06836,470658.57617200003,98951.20612116666
355,218.450714,13787.618652,5193.752197,3339.789307,129443.095703,19096.709229,0.0,0.0,0.0,0.0,25415.706055,27630.250733,2214.544678000002,47965.739809939994
356,10.041677,785.695557,0.0,0.0,0.0,0.0,0.001466,50.50016,26.738161,13.943235,4106.313965,0.0,-4106.313965,2880.8837089999997
419,104.742226,20944.303223,16062.224609,22333.331543,869643.1875,0.0,0.0,0.0,0.0,0.0,1878.963364,38395.556152000005,36516.592788,59402.91473433332
420,170.937038,17175.707031,6065.987061,4645.563599,180540.546875,0.0,0.0,0.0,0.0,0.0,67565.701172,10711.55066,-56854.150512,59366.781509500004
421,345.213421,44364.171875,10284.983398,26592.459106,1032012.007812,57341.186523,2.886517,4248.348999,2419.220596,1434.304489,52766.775391,94218.62902699999,41451.853635999985,142028.3900520933
422,373.480637,56507.900146,25085.730469,16441.276688,637301.222168,556286.90625,0.060485,290.773376,168.35466,102.436897,256370.387207,597813.913407,341443.5262,194449.60942530667
423,352.398384,68470.331543,39831.484375,20446.199219,791425.375,17531.332031,0.107929,3418.857956,1820.379738,959.660751,319971.96582,77809.015625,-242162.95019499998,235229.3748243333
424,91.368286,19265.179688,1302.419922,0.0,0.0,6668.366211,0.005077,81.628296,45.761452,26.448532,89659.046875,7970.786133,-81688.260742,70638.99218933334
431,156.758041,3360.136475,1488.588867,0.0,0.0,16250.144531,0.025694,194.018555,116.457954,74.694557,63770.078125,17738.733398,-46031.344727,12320.500408333332
