SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,0.0,-2054.0,336.75140766666664
86,321.288696,64940.410156,9448.491211,1455.383789,56622.589844,144947.125,0.272951,2073.395752,1132.982056,626.605469,27650.0,155851.0,128201.0,236982.38544178667
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,4056.0,1932.034912,-2123.965088,21893.256906759998
151,100.050514,12878.943359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13416.0,0.0,-13416.0,47222.79231633333
153,140.897278,19715.214844,6776.294922,6986.816895,271626.3125,91767.3125,0.111589,931.403076,507.69104,279.538452,21709.0,105530.424317,83821.424317,66856.59484466666
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,85.363251,46.829819,26.081036,41419.0,25505.160889,-15913.839111000001,156518.2384393333
217,363.778076,47513.535156,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1279.022339,750.165894,457.357941,52202.0,186598.828125,134396.828125,157653.27182199998
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,0.0,-1404.0,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1483.273376,846.694092,503.920731,17082.0,13594.772339,-3487.227661000001,40282.96720690666
220,376.963318,72078.914062,53679.773438,31264.191406,1215976.625,398609.625,0.555615,4917.847168,2712.017578,1524.262695,51584.0,483553.589844,431969.589844,239969.81906066663
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,6402.0,1742.495605,-4659.504395,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,5226.0,4750.077148,-475.9228519999997,28836.126536
285,366.135681,44074.671875,9932.890625,20632.529297,804144.5,153502.28125,0.067345,1420.644043,833.229248,507.999664,42510.0,184067.701172,141557.701172,145524.2402083333
286,243.577118,40421.421875,20342.078125,10023.21875,389750.40625,0.0,0.13637,1346.553467,787.226562,486.050842,36894.0,30365.296875,-6528.703125,140416.87208333332
287,379.939331,45163.757812,20821.837891,11928.769531,463394.71875,91259.148438,1.062764,5252.214844,2898.931885,1631.778931,57486.0,124009.75586,66523.75586,156332.55093566666
288,364.938354,48337.796875,40437.058594,29967.1875,1163942.5,19547.296875,0.00994,99.337494,55.473164,31.853909,46098.0,89951.542969,43853.542969,153959.73854166665
289,27.226959,1733.896118,342.299683,0.0,0.0,0.0,0.00114,40.904518,21.622913,11.240511,2418.0,342.299683,-2075.700317,6357.619099333333
351,221.638031,27396.492188,12304.121094,33983.921875,1324658.0,75937.1875,0.060841,1283.605225,752.761597,459.022644,13104.0,122225.230469,109121.230469,73960.64468933332
352,350.431503,38591.357422,8085.464355,24503.172363,953621.140625,0.0,0.0,0.0,0.0,0.0,37674.0,32588.636718,-5085.363281999998,122429.22106816666
353,370.300161,62100.788574,49669.038086,28620.292114,1112203.679688,0.0,0.802638,3008.615433,1724.712845,1033.38068,58890.0,78289.3302,19399.330199999997,205458.81784424
354,369.122208,30958.931641,5447.987061,18754.112549,728243.828125,518832.96875,1.004012,4451.110229,2528.300781,1492.942261,54210.0,543035.06836,488825.06836000003,98951.20612116666
355,218.450714,13787.618652,5193.752197,3339.789307,129443.095703,19096.709229,0.0,0.0,0.0,0.0,16380.0,27630.250733,11250.250733,47965.739809939994
356,10.041677,785.695557,0.0,0.0,0.0,0.0,0.001466,50.50016,26.738161,13.943235,1014.0,0.0,-1014.0,2880.8837089999997
419,104.742226,20944.303223,16062.224609,22333.331543,869643.1875,0.0,0.0,0.0,0.0,0.0,1872.0,38395.556152000005,36523.556152000005,59402.91473433332
420,170.937038,17175.707031,6065.987061,4645.563599,180540.546875,0.0,0.0,0.0,0.0,0.0,13650.0,10711.55066,-2938.449339999999,59366.781509500004
421,345.213421,44364.171875,10284.983398,26592.459106,1032012.007812,57341.186523,2.886517,4248.348999,2419.220596,1434.304489,46644.0,94218.62902699999,47574.62902699999,142028.3900520933
422,373.480637,56507.900146,25085.730469,16441.276688,637301.222168,556286.90625,0.060485,290.773376,168.35466,102.436897,52806.0,597813.913407,545007.913407,194449.60942530667
423,352.398384,68470.331543,39831.484375,20446.199219,791425.375,17531.332031,0.107929,3418.857956,1820.379738,959.660751,43290.0,77809.015625,34519.015625,235229.3748243333
424,91.368286,19265.179688,1302.419922,0.0,0.0,6668.366211,0.005077,81.628296,45.761452,26.448532,9360.0,7970.786133,-1389.2138670000004,70638.99218933334
431,156.758041,3360.136475,1488.588867,0.0,0.0,16250.144531,0.025694,194.018555,116.457954,74.694557,15756.0,17738.733398,1982.7333980000003,12320.500408333332
432,27.918671,1148.311523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,0.0,-1404.0,4210.475584333333
486,16.741899,0.0,653.031067,2752.905029,107153.234375,0.0,0.0,0.0,0.0,0.0,0.0,3405.936096,3405.936096,-2143.0646875
487,138.781593,28755.321289,12072.30957,8128.699219,315715.152344,0.0,0.376636,497.997421,282.965389,167.178875,14742.0,20201.008789,5459.0087889999995,99121.87501278667
488,353.287689,45969.523438,19191.679688,20347.292969,789021.9375,176395.546875,0.688592,2040.757324,1180.399414,717.129761,53664.0,215934.519532,162270.519532,152774.48052266665
489,362.303314,58338.984375,10374.412109,19434.130859,752515.875,221639.734375,0.78768,2813.716064,1553.782593,875.357178,40326.0,251448.277343,211122.277343,198859.291875
490,380.797058,63298.707031,10218.333008,8121.1875,314037.6875,319855.1875,0.203229,3443.936768,1932.15332,1118.115845,53508.0,338194.708008,284686.708008,225814.50536366666
491,36.955761,3693.254639,3124.043945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.0,3124.043945,-73.9560550000001,13541.933676333334
497,196.749435,7469.732422,22530.480469,13493.862305,518265.8125,85495.726562,0.092557,740.227478,442.29837,281.875122,28158.0,121520.06933599999,93362.06933599999,17023.702630666667
498,407.30777,38139.984375,17869.158203,8933.567383,343626.5625,291063.21875,0.222675,2367.896729,1555.911133,1118.687744,55770.0,317865.944336,262095.94433600002,132974.078125
555,128.528839,15277.410156,0.0,3774.864746,146455.375,0.0,0.0,0.0,0.0,0.0,8502.0,3774.864746,-4727.135254,53088.063072
556,360.660614,46876.101562,24266.355469,15700.073242,607905.375,596257.0,0.653431,4244.3125,2455.510742,1492.310669,59046.0,636223.428711,577177.428711,159720.93156066665
557,372.216553,66346.453125,26462.931641,29995.726562,1159842.125,463141.3125,0.54178,4663.57373,2698.521484,1640.415771,45396.0,519599.97070299997,474203.97070299997,220073.485625
558,367.860535,60313.015625,38214.714844,16971.078125,655580.4375,224785.46875,0.24124,2159.70459,1236.290771,739.036255,47736.0,279971.261719,232235.261719,208036.1152083333
559,49.742649,8043.487305,2141.606934,0.0,0.0,6733.383789,0.032456,231.883667,120.51963,60.554405,4680.0,8874.990723,4194.990723000001,29492.786784999997
560,55.851593,5676.630859,1511.405518,0.0,0.0,30804.814453,0.014366,359.031067,174.175415,74.637756,4914.0,32316.219971,27402.219971,20814.313149666665
562,29.204468,5186.669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2262.0,0.0,-2262.0,19017.789714
563,100.241486,9931.912109,0.0,0.0,0.0,16227.62207,0.144209,198.423096,118.318726,75.185646,11310.0,16227.62207,4917.622069999999,36417.01106633333
564,171.85717,21378.811523,8952.949707,8208.960938,315272.5625,2583.224365,0.038677,292.564613,170.633026,104.977533,14508.0,19745.135009999998,5237.135009999998,72083.52433433333
565,387.990417,50641.964844,42044.191406,35891.871094,1379389.0,405098.75,0.522196,4529.689453,2744.439697,1783.151367,46956.0,483034.8125,436078.8125,158099.424428
566,188.074173,24764.716797,7218.049805,2648.96875,101504.101562,35462.90625,0.051125,427.027954,257.572479,166.327225,18564.0,45329.924805,26765.924805000002,88773.87955776
622,128.821716,18805.082031,2888.535156,10164.22168,393902.65625,2733.20752,0.013384,88.931488,51.511971,31.363001,15054.0,15785.964356,731.9643560000004,61073.914322000004
623,357.569427,48069.71875,14468.584961,15645.350586,605323.375,619066.875,1.068143,4540.575684,2579.506836,1523.546631,60762.0,649180.810547,588418.810547,164149.16791666666
624,364.778503,57709.578125,12140.194336,34349.398438,1326526.0,391037.875,0.512159,4392.882812,2546.440918,1551.634033,37674.0,437527.467774,399853.467774,185071.26645833332
625,263.875671,29339.283203,3450.583008,29312.048828,1130335.0,29031.853516,1.008816,2307.975098,1483.39563,1039.391113,14586.0,61794.485352,47208.485352,84970.67174433333
626,274.732803,42764.783203,16923.34082,24922.651367,960080.015625,159286.636719,0.221596,3397.656433,1596.891541,627.24884,22620.0,201132.628906,178512.628906,137602.60476516664
627,214.870987,21165.980469,3735.892822,15347.642578,589453.5625,0.0,0.0,0.0,0.0,0.0,9438.0,19083.5354,9645.5354,65819.52380299999
628,71.799103,10730.414062,3745.299072,6417.805664,246062.28125,0.0,0.0,0.0,0.0,0.0,8502.0,10163.104736000001,1661.1047360000011,34423.60593566666
629,47.456753,4171.324707,0.0,1942.390747,74413.390625,0.0,0.0,0.0,0.0,0.0,1794.0,1942.390747,148.39074699999992,13806.589446499998
630,334.257874,49636.382812,6937.334473,19510.005859,747926.125,212686.515625,1.159546,2484.022949,1500.305908,970.612061,30498.0,239133.855957,208635.855957,167041.54781066667
631,378.430725,41102.300781,27048.716797,59195.359375,2272872.5,266231.8125,0.289507,3630.511719,2035.573975,1176.76123,37752.0,352475.88867200003,314723.88867200003,105250.98619699996
632,404.217865,41590.34375,19910.324219,30014.164062,1153160.5,527358.25,0.419879,4828.620605,2938.402588,1920.592407,52494.0,577282.7382809999,524788.7382809999,129434.71708333332
633,145.877136,18609.966797,18342.099609,2244.996826,84553.265625,18010.068359,0.034079,270.379059,159.357574,99.576744,14898.0,38597.164794,23699.164793999997,66545.47960983333
690,232.157547,41047.8125,8813.578125,9003.195312,348508.5625,14260.404297,0.016669,84.203583,48.950165,29.967556,32760.0,32077.177733999997,-682.8222660000029,143538.4745833333
691,350.537537,38996.84375,9439.149414,27939.125,1079674.5,583137.5,0.697078,5175.21582,2908.546631,1688.032104,50076.0,620515.774414,570439.774414,121394.93708333331
692,334.917969,38472.347656,2996.981201,81608.117188,3149185.25,149949.1875,1.554843,3568.12793,2325.121338,1655.377441,15444.0,234554.285889,219110.285889,78081.56973866666
693,349.096375,56325.742188,9835.566406,70826.023438,2729327.25,65618.90625,0.760725,4758.856445,2562.055664,1379.162354,19032.0,146280.496094,127248.496094,151941.17635599995
694,357.767731,63337.84375,26901.472656,70197.96875,2699770.5,216664.1875,0.192486,4435.174805,2200.574707,997.328064,31434.0,313763.628906,282329.628906,178243.35041666665
