SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,2052.641113,1128.098877,630.268372,0.0,155851.0,155851.0,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,140.270081,18654.626953,6776.294922,7132.425293,277286.03125,91981.265625,0.111589,917.60022,504.443512,281.974487,0.0,105889.98584000001,105889.98584000001,62854.57820266666
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,85.161758,46.78241,26.1166,0.0,25505.160889,25505.160889,156518.2384393333
217,361.725708,45916.996094,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1279.022339,750.165894,456.962341,0.0,186598.828125,186598.828125,151799.29526133335
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1547.634888,876.208954,514.672043,0.0,13594.772339,13594.772339,40282.96720690666
220,373.877014,69746.265625,54961.492188,32572.375,1266862.625,401629.875,0.555615,4945.448242,2725.723145,1530.486328,0.0,489163.742188,489163.742188,230399.05479166665
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,0.0,1742.495605,1742.495605,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
285,364.08551,41098.726562,10836.708008,21969.480469,856251.5625,155037.515625,0.067345,1420.644043,833.229248,507.560242,0.0,187843.704102,187843.704102,133570.29947733335
286,227.443893,39023.835938,40039.414062,18735.152344,728607.875,0.0,0.13637,1427.766602,822.823792,497.085266,0.0,58774.566406,58774.566406,128515.24093933331
