SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,1746.534302,959.30127,535.406799,0.0,155851.0,155851.0,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,140.482239,18832.966797,7442.203125,7132.425293,277286.03125,89841.71875,0.111589,714.024353,392.184937,218.886887,0.0,104416.34716800001,104416.34716800001,63508.490964
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,82.18985,45.143597,25.195612,0.0,25505.160889,25505.160889,156518.2384393333
217,361.725708,45916.996094,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1286.60376,750.165894,461.314514,0.0,186598.828125,186598.828125,151799.29526133335
218,13.876188,1554.037109,305.82489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.82489,305.82489,5698.1360663333335
219,122.78875,26654.786133,72883.289062,727.285126,28270.134766,0.0,0.215829,1019.517151,627.064011,415.743118,0.0,73610.574188,73610.574188,97168.81312568001
220,391.57019,88802.335938,136502.96875,25738.066406,1001155.5,208030.015625,0.555615,3889.497314,2149.517578,1212.605103,0.0,370271.050781,370271.050781,305585.455106
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,0.0,1742.495605,1742.495605,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
