SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,1746.534302,959.30127,535.406799,0.0,155851.0,155851.0,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,138.777405,17906.421875,6776.294922,10770.110352,418680.78125,89841.71875,0.111589,716.996277,393.604187,219.470078,0.0,107388.124024,107388.124024,57283.26458333333
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,82.18985,45.143597,25.195612,0.0,25505.160889,25505.160889,156518.2384393333
217,361.725708,45916.996094,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1286.60376,750.165894,461.314514,0.0,186598.828125,186598.828125,151799.29526133335
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.283529333334
219,100.635624,10296.706055,2130.240204,28645.516602,1113411.15625,0.0,0.215829,1093.295044,678.897186,455.759888,0.0,30775.756806,30775.756806,15486.365743333332
220,359.722168,65059.617188,43951.410156,67338.40625,2617863.5,208030.015625,0.555615,4031.981445,2235.616699,1268.343018,0.0,319319.832031,319319.832031,186194.6596893333
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,0.0,1742.495605,1742.495605,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
