SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,16.178484,460.433533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9022.493164,0.0,-9022.493164,1688.2562876666666
86,351.398285,132585.734375,0.0,0.0,0.0,0.0,0.272951,1746.534302,959.30127,535.406799,1195767.625,0.0,-1195767.625,486147.6927083333
150,48.348614,14129.097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156040.53125,0.0,-156040.53125,51806.69140533333
151,124.455582,46214.757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567098.0,0.0,-567098.0,169454.11197733335
153,165.242416,71432.4375,0.0,0.0,0.0,0.0,0.111589,714.024353,392.184937,218.886887,891449.5,0.0,-891449.5,261918.9375
154,388.736816,157631.46875,0.0,0.0,0.0,0.0,0.012845,82.18985,45.143597,25.195612,1807075.375,0.0,-1807075.375,577982.0520833333
217,442.496948,185991.40625,0.0,0.0,0.0,0.0,0.060631,1286.60376,750.165894,461.314514,2315599.75,0.0,-2315599.75,681968.4895833333
218,15.723646,3829.885742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47990.828125,0.0,-47990.828125,14042.914387333332
219,132.157982,56941.408203,0.0,0.0,0.0,0.0,0.215829,1019.517151,627.064011,415.743118,713510.96875,0.0,-713510.96875,208785.163411
220,447.927612,195096.46875,0.0,0.0,0.0,0.0,0.555615,3889.497314,2149.517578,1212.605103,2192597.0,0.0,-2192597.0,715353.71875
221,108.360886,21552.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270061.8125,0.0,-270061.8125,79024.57291666666
284,97.009872,24395.755859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272733.4375,0.0,-272733.4375,89451.10481633333
285,447.371002,179130.84375,0.0,0.0,0.0,0.0,0.067345,1429.065186,833.229248,512.394287,2127813.5,0.0,-2127813.5,656813.09375
286,282.058746,126002.84375,0.0,0.0,0.0,0.0,0.13637,879.674805,569.437683,402.386688,1578893.5,0.0,-1578893.5,462010.4270833333
287,442.801758,191087.265625,0.0,0.0,0.0,0.0,1.062764,3925.326172,2237.129395,1328.100342,2379447.75,0.0,-2379447.75,700653.3072916666
288,438.805054,166454.6875,0.0,0.0,0.0,0.0,0.00994,78.019073,43.420822,24.790991,2043805.5,0.0,-2043805.5,610333.8541666666
289,30.648319,7408.833496,0.0,0.0,0.0,0.0,0.00114,33.584755,17.903366,9.459538,92837.257812,0.0,-92837.257812,27165.722818666665
351,280.361633,90522.140625,0.0,0.0,0.0,0.0,0.060841,1291.055664,752.761597,462.910767,985528.4375,0.0,-985528.4375,331914.515625
352,442.243118,173823.757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122867.0,0.0,-2122867.0,637353.778644
353,441.758425,196658.669922,0.0,0.0,0.0,0.0,0.802638,2143.453178,1311.154804,862.994066,2464254.328125,0.0,-2464254.328125,721081.789714
354,444.595779,196419.171875,0.0,0.0,0.0,0.0,1.004012,3729.985596,2104.800964,1229.701111,2452270.375,0.0,-2452270.375,720203.6302083333
355,244.773163,59349.759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721366.5625,0.0,-721366.5625,217615.78580866667
356,11.3865,5463.240234,0.0,0.0,0.0,0.0,0.001466,43.180401,23.018612,12.162263,56141.101562,0.0,-56141.101562,20031.880858
419,151.983074,52309.541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514822.6875,0.0,-514822.6875,191801.650392
420,184.412273,58016.816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754110.421875,0.0,-754110.421875,212728.32682199997
421,410.769173,164017.123047,0.0,0.0,0.0,0.0,2.886517,3577.875549,2060.494827,1243.443161,2001405.0,0.0,-2001405.0,601396.117839
422,436.199745,191461.226562,0.0,0.0,0.0,0.0,0.060485,233.230515,134.049438,80.644203,2360226.96875,0.0,-2360226.96875,702024.497394
423,411.912128,202851.477539,0.0,0.0,0.0,0.0,0.107929,2861.715973,1534.600098,819.999325,2224044.820312,0.0,-2224044.820312,743788.7509763334
424,112.178368,73069.570312,0.0,0.0,0.0,0.0,0.005077,65.844421,37.250721,21.854111,729296.875,0.0,-729296.875,267921.75781066663
431,166.217072,3360.136475,0.0,0.0,0.0,0.0,0.025636,152.389008,92.219246,59.820164,56923.230469,0.0,-56923.230469,12320.500408333332
432,30.707174,3855.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48174.089844,0.0,-48174.089844,14135.286458333332
486,20.969307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,157.364391,61847.066406,0.0,0.0,0.0,0.0,0.376636,419.47216,241.978054,146.40428,756586.515625,0.0,-756586.515625,226772.57682199997
488,416.674683,177452.4375,0.0,0.0,0.0,0.0,0.688592,1796.883301,1027.937256,613.889465,2184739.5,0.0,-2184739.5,650658.9375
489,426.645844,168157.25,0.0,0.0,0.0,0.0,0.78768,2227.075684,1251.342041,725.946411,2020435.0,0.0,-2020435.0,616576.5833333333
490,441.261841,327882.5625,0.0,0.0,0.0,0.0,0.203229,2800.30127,1581.908936,925.851624,3356428.5,0.0,-3356428.5,1202236.0625
491,44.254642,19347.501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198767.921875,0.0,-198767.921875,70940.84049433333
497,238.272079,7494.057617,0.0,0.0,0.0,0.0,0.092557,546.02063,329.344299,212.67244,118319.546875,0.0,-118319.546875,27478.211262333334
498,481.194336,142650.234375,0.0,0.0,0.0,0.0,0.19792,1670.086548,1138.935303,852.930603,1795953.75,0.0,-1795953.75,523050.859375
555,138.845154,37336.847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454138.5,0.0,-454138.5,136901.77473866666
556,426.702942,194211.90625,0.0,0.0,0.0,0.0,0.653431,3266.102783,1880.502319,1134.409668,2412704.0,0.0,-2412704.0,712110.3229166666
557,453.02179,263923.0,0.0,0.0,0.0,0.0,0.54178,3800.759277,2205.786133,1346.953247,2875319.5,0.0,-2875319.5,967717.6666666666
558,454.771881,300772.34375,0.0,0.0,0.0,0.0,0.24124,1775.071899,1021.541199,615.793762,3126995.75,0.0,-3126995.75,1102831.9270833333
559,61.096729,22241.611328,0.0,0.0,0.0,0.0,0.032456,194.456329,101.245255,51.05463,242626.34375,0.0,-242626.34375,81552.57486933333
560,67.07975,21430.773438,0.0,0.0,0.0,0.0,0.014366,285.324463,142.306793,65.297256,268540.8125,0.0,-268540.8125,78579.502606
562,37.238686,13206.50293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152178.703125,0.0,-152178.703125,48423.84407666667
563,121.131088,43825.078125,0.0,0.0,0.0,0.0,0.144209,148.958313,94.020081,64.437943,531250.4375,0.0,-531250.4375,160691.953125
564,217.611198,72090.957031,0.0,0.0,0.0,0.0,0.038677,245.447243,144.440928,90.052896,871522.6875,0.0,-871522.6875,264333.50911366666
565,468.880585,147961.46875,0.0,0.0,0.0,0.0,0.514197,3376.622314,2077.062012,1377.298706,1854330.75,0.0,-1854330.75,542525.3854166666
566,225.013977,73952.5625,0.0,0.0,0.0,0.0,0.050249,317.206055,188.486496,119.175964,927603.1875,0.0,-927603.1875,271159.3958333333
622,150.468658,55368.0,0.0,0.0,0.0,0.0,0.013384,68.248566,39.319401,23.742159,638794.75,0.0,-638794.75,203016.0
623,421.062622,197614.546875,0.0,0.0,0.0,0.0,1.068143,3611.540771,2042.875854,1198.209595,2461303.5,0.0,-2461303.5,724586.671875
624,445.439789,218785.90625,0.0,0.0,0.0,0.0,0.512159,3808.493164,2215.591553,1357.874878,2555191.0,0.0,-2555191.0,802214.9895833333
625,338.70105,116744.46875,0.0,0.0,0.0,0.0,1.008816,2125.33374,1295.855225,849.212891,1316571.125,0.0,-1316571.125,428063.0520833333
626,342.436493,126628.480469,0.0,0.0,0.0,0.0,0.221596,2654.77417,1293.274628,560.159317,1556901.25,0.0,-1556901.25,464304.42838633334
627,257.206604,71394.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843924.25,0.0,-843924.25,261779.77604166666
628,86.656387,34332.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405476.0,0.0,-405476.0,125885.94791666666
629,51.428646,9154.956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80536.835938,0.0,-80536.835938,33568.17220166667
630,423.655212,169027.03125,0.0,0.0,0.0,0.0,1.159546,2004.114746,1240.228516,828.905151,2097125.0,0.0,-2097125.0,619765.78125
631,495.680908,177883.765625,0.0,0.0,0.0,0.0,0.289507,2790.661621,1605.737915,967.701965,2227328.0,0.0,-2227328.0,652240.4739583333
632,496.643921,199043.171875,0.0,0.0,0.0,0.0,0.401779,3699.797852,2264.304688,1491.346924,2494134.0,0.0,-2494134.0,729824.9635416666
