SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,transition_cost,production_value,net_econ_value,net_ghg_co2e
12,21.29212,91.841293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.75140766666664
86,321.288696,64737.316406,9448.491211,1455.383789,56622.589844,144947.125,0.272951,2052.641113,1119.422974,616.920898,0.0,155851.0,155851.0,236237.70835845332
150,43.692528,6381.788574,0.0,1932.034912,75331.726562,0.0,0.0,0.0,0.0,0.0,0.0,1932.034912,1932.034912,21893.256906759998
151,98.572716,11864.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43504.713541666664
153,140.386703,18654.626953,6776.294922,7132.425293,277286.03125,91637.289062,0.111589,917.60022,498.673553,273.097748,0.0,105546.009277,105546.009277,62854.57820266666
154,337.67627,44909.554688,13246.399414,10461.633789,407506.4375,1797.127686,0.012845,85.161758,46.698174,25.987011,0.0,25505.160889,25505.160889,156518.2384393333
217,361.725708,45916.996094,7189.628906,21243.589844,828151.1875,158165.609375,0.060631,1278.878662,750.165894,456.96814,0.0,186598.828125,186598.828125,151799.29526133335
218,13.82789,1464.895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.283529333334
219,110.706085,12219.355957,7778.445557,5816.326782,226066.898438,0.0,0.215829,1469.009705,841.701782,503.920731,0.0,13594.772339,13594.772339,40282.96720690666
220,375.101685,69746.265625,54961.492188,32572.375,1266862.625,398018.34375,0.555615,4882.761719,2689.041992,1507.80835,0.0,485552.210938,485552.210938,230399.05479166665
221,95.172348,4051.697021,0.0,1742.495605,67879.304688,0.0,0.0,0.0,0.0,0.0,0.0,1742.495605,1742.495605,13498.636316573331
284,86.606918,8874.658203,0.0,4750.077148,185214.34375,0.0,0.0,0.0,0.0,0.0,0.0,4750.077148,4750.077148,28836.126536
285,364.08551,41098.726562,10836.708008,21969.480469,856251.5625,155037.515625,0.067345,1420.484497,833.229248,507.566681,0.0,187843.704102,187843.704102,133570.29947733335
286,236.335144,39023.835938,40039.414062,18735.152344,728607.875,0.0,0.13637,1324.738525,779.591492,486.050842,0.0,58774.566406,58774.566406,128515.24093933331
287,375.436218,39561.847656,24181.919922,14547.386719,565115.625,96671.179688,1.062764,5253.555664,2899.375488,1631.739258,0.0,135400.486329,135400.486329,133757.79557199997
288,364.066528,47409.40625,41082.402344,30548.306641,1186542.75,17465.640625,0.00994,99.345505,55.475967,31.853909,0.0,89096.34961,89096.34961,150103.6345833333
289,27.226959,1733.896118,342.299683,0.0,0.0,0.0,0.00114,40.637581,21.615646,11.373065,0.0,342.299683,342.299683,6357.619099333333
351,221.638031,27396.492188,12304.121094,33983.921875,1324658.0,75937.1875,0.060841,1283.464111,752.761597,458.639587,0.0,122225.230469,122225.230469,73960.64468933332
352,348.464935,38469.722656,12804.661621,27116.449219,1055271.0625,0.0,0.0,0.0,0.0,0.0,0.0,39921.110839999994,39921.110839999994,119950.22848866666
353,367.370855,56587.674805,51097.227539,29636.940186,1151702.9375,0.0,0.802638,2990.632328,1718.242622,1033.109734,0.0,80734.167725,80734.167725,184454.08220166666
354,368.24472,29936.303711,6412.759033,19335.912598,750822.195312,520104.96875,1.004012,4547.000732,2561.862183,1492.942261,0.0,545853.640381,545853.640381,94750.00303409333
